Year,Month,Malaria
2014,Jan,1293
2014,Feb,38
2014,Mar,3155
2014,Apr,3048
2014,May,3442
2014,Jun,934
2014,Jul,12062
2014,Aug,12450
2014,Sep,13255
2014,Oct,11257
2014,Nov,266
2014,Dec,79
2015,Jan,4334
2015,Feb,355
2015,Mar,98
2015,Apr,114
2015,May,480
2015,Jun,3591
2015,Jul,9757
2015,Aug,11759
2015,Sep,11557
2015,Oct,9959
2015,Nov,23
2015,Dec,1762
2016,Jan,978
2016,Feb,1601
2016,Mar,38
2016,Apr,298
2016,May,53
2016,Jun,512
2016,Jul,2491
2016,Aug,6489
2016,Sep,5480
2016,Oct,3500
2016,Nov,728
2016,Dec,280
2017,Jan,774
2017,Feb,85
2017,Mar,168
2017,Apr,378
2017,May,183
2017,Jun,895
2017,Jul,1012
2017,Aug,3501
2017,Sep,4023
2017,Oct,3512
2017,Nov,250
2017,Dec,277
2018,Jan,171
2018,Feb,973
2018,Mar,296
2018,Apr,1441
2018,May,451
2018,Jun,149
2018,Jul,1390
2018,Aug,5090
2018,Sep,5695
2018,Oct,5385
2018,Nov,872
2018,Dec,37
2019,Jan,463
2019,Feb,1878
2019,Mar,2094
2019,Apr,124
2019,May,240
2019,Jun,55
2019,Jul,3201
2019,Aug,10209
2019,Sep,9390
2019,Oct,9602
2019,Nov,1078
2019,Dec,2168
2020,Jan,1128
2020,Feb,16
2020,Mar,640
2020,Apr,565
2020,May,1934
2020,Jun,774
2020,Jul,4106
2020,Aug,9805
2020,Sep,8807
2020,Oct,8506
2020,Nov,1503
2020,Dec,1245
2021,Jan,846
2021,Feb,1113
2021,Mar,757
2021,Apr,1291
2021,May,7
2021,Jun,1158
2021,Jul,4285
2021,Aug,8205
2021,Sep,8365
2021,Oct,8285
2021,Nov,1389
2021,Dec,724
2022,Jan,469
2022,Feb,925
2022,Mar,101
2022,Apr,940
2022,May,202
2022,Jun,634
2022,Jul,6680
2022,Aug,5694
2022,Sep,7280
2022,Oct,7094
2022,Nov,653
2022,Dec,2761
2023,Jan,317
2023,Feb,1092
2023,Mar,382
2023,Apr,292
2023,May,2918
2023,Jun,278
2023,Jul,5070
2023,Aug,11974
2023,Sep,11022
2023,Oct,5022
2023,Nov,1560
2023,Dec,1431
