Year,Month,Temperature
2014,JAN,26.9
2014,FEB,28.4
2014,MAR,33.6
2014,APR,35.8
2014,MAY,34.6
2014,JUN,34
2014,JUL,29.7
2014,AUG,26.9
2014,SEP,28.5
2014,OCT,31.3
2014,NOV,30.8
2014,DEC,26.1
2015,JAN,24.4
2015,FEB,31.2
2015,MAR,32.7
2015,APR,34.3
2015,MAY,37.2
2015,JUN,35.2
2015,JUL,30.9
2015,AUG,29.3
2015,SEP,28.7
2015,OCT,32.9
2015,NOV,29.8
2015,DEC,22.4
2016,JAN,25
2016,FEB,28.9
2016,MAR,35.1
2016,APR,37.6
2016,MAY,35.9
2016,JUN,31.5
2016,JUL,28.9
2016,AUG,27.9
2016,SEP,29.8
2016,OCT,32.9
2016,NOV,31.9
2016,DEC,27.3
2017,JAN,26.9
2017,FEB,27.3
2017,MAR,33.5
2017,APR,35.6
2017,MAY,36.1
2017,JUN,31.5
2017,JUL,29.5
2017,AUG,28.3
2017,SEP,31.6
2017,OCT,32.7
2017,NOV,31.1
2017,DEC,26.8
2018,JAN,25
2018,FEB,34.9
2018,MAR,34.9
2018,APR,36.7
2018,MAY,36.3
2018,JUN,33
2018,JUL,29.3
2018,AUG,28.2
2018,SEP,30.2
2018,OCT,31.2
2018,NOV,30.8
2018,DEC,25.2
2019,JAN,24.6
2019,FEB,25.2
2019,MAR,30.5
2019,APR,34.8
2019,MAY,35.8
2019,JUN,32.8
2019,JUL,30.5
2019,AUG,26.9
2019,SEP,29.9
2019,OCT,31.2
2019,NOV,32
2019,DEC,26.7
2020,JAN,25.1
2020,FEB,27.3
2020,MAR,33.6
2020,APR,37.8
2020,MAY,36.3
2020,JUN,34
2020,JUL,29.3
2020,AUG,34.5
2020,SEP,28.3
2020,OCT,41.6
2020,NOV,29.9
2020,DEC,29.4
2021,JAN,28.1
2021,FEB,27.2
2021,MAR,32.2
2021,APR,33.2
2021,MAY,35.9
2021,JUN,37.1
2021,JUL,35.1
2021,AUG,28.6
2021,SEP,32
2021,OCT,31.9
2021,NOV,32.9
2021,DEC,25.7
2022,JAN,24.5
2022,FEB,37.4
2022,MAR,32.4
2022,APR,37
2022,MAY,37
2022,JUN,32.9
2022,JUL,27.9
2022,AUG,26.3
2022,SEP,28.6
2022,OCT,31.5
2022,NOV,29.7
2022,DEC,27.3
2023,JAN,27.3
2023,FEB,25.3
2023,MAR,34
2023,APR,34.2
2023,MAY,35.2
2023,JUN,33.5
2023,JUL,28.5
2023,AUG,26.5
2023,SEP,28.8
2023,OCT,31.7
2023,NOV,30.4
2023,DEC,28.3
